cand_id,bioguide_id,match_method,confidence
H2NC06114,F000477,authoritative,high
H2NC07096,R000603,authoritative,high
H2NC08185,H001067,authoritative,high
H2NC09134,P000606,authoritative,high
H2NC11080,M001187,authoritative,high
H2NC12021,W000207,authoritative,high
H2NC13029,M001154,authoritative,high
H2NC13110,H001065,authoritative,high
H2NC13243,H001101,authoritative,high
H2NC14019,N000194,authoritative,high
H2NC14050,E000246,authoritative,high
H2NC14076,J000308,authoritative,high
H2ND00057,P000422,authoritative,high
H2NE01118,F000474,authoritative,high
H2NJ02037,L000554,authoritative,high
H2NJ05014,F000372,authoritative,high
H2NJ07119,F000349,authoritative,high
H2NJ08232,M001226,authoritative,high
H2NJ09016,T000317,authoritative,high
H2NJ10154,P000604,authoritative,high
H2NJ13075,M000639,authoritative,high
H2NM01144,S001218,authoritative,high
H2NM02126,P000588,authoritative,high
H2NM02191,V000136,authoritative,high
H2NV00050,K000390,authoritative,high
H2NV02395,A000369,authoritative,high
H2NV04011,H001066,authoritative,high
H2NY00010,V000081,authoritative,high
H2NY00036,H001062,authoritative,high
H2NY01067,B001242,authoritative,high
H2NY01190,L000598,authoritative,high
H2NY02057,L000155,authoritative,high
H2NY03089,K000210,authoritative,high
H2NY04277,D000632,authoritative,high
H2NY06116,M001188,authoritative,high
H2NY10092,J000294,authoritative,high
H2NY10308,G000599,authoritative,high
H2NY11017,T000326,authoritative,high
H2NY12023,O000159,authoritative,high
H2NY13096,E000297,authoritative,high
H2NY14037,M000087,authoritative,high
H2NY17071,N000002,authoritative,high
H2NY17162,L000599,authoritative,high
H2NY19127,M001221,authoritative,high
H2NY22139,M001185,authoritative,high
H2NY22212,W000828,authoritative,high
H2NY23137,S001219,authoritative,high
H2NY23228,L000600,authoritative,high
H2NY24036,M000472,authoritative,high
H2NY25017,B000586,authoritative,high
H2NY26080,H000627,authoritative,high
H2NY30041,Q000016,authoritative,high
H2OH01194,L000601,authoritative,high
H2OH02085,W000815,authoritative,high
H2OH03067,T000463,authoritative,high
H2OH03091,T000463,authoritative_unverified,medium
H2OH03125,B001281,authoritative,high
H2OH04032,O000163,authoritative,high
H2OH07027,D000294,authoritative,high
H2OH09031,K000009,authoritative,high
H2OH11169,B001313,authoritative,high
H2OH12027,K000016,authoritative,high
H2OH13033,B000944,authoritative,high
H2OH13264,S001223,authoritative,high
H2OH14064,J000295,authoritative,high
H2OH15046,P000555,authoritative,high
H2OH15228,C001126,authoritative,high
H2OH16051,M001222,authoritative,high
H2OH17109,R000577,authoritative,high
H2OK01093,S001155,authoritative,high
H2OK01143,B001283,authoritative,high
H2OK02083,M001190,authoritative,high
H2OK02315,B001317,authoritative,high
H2OK04055,C001053,authoritative,high
H2OK05045,I000047,authoritative,high
H2OR01133,B001278,authoritative,high
H2OR04095,H001094,authoritative,high
H2OR05209,C001135,authoritative,high
H2OR06066,S001226,authoritative,high
H2PA02055,F000043,authoritative,high
H2PA04010,B000644,authoritative,high
H2PA04093,K000270,authoritative,high
H2PA04135,P000605,authoritative,high
H2PA06080,H000712,authoritative,high
H2PA06114,G000549,authoritative,high
H2PA08037,G000439,authoritative,high
H2PA09035,S001154,authoritative,high
H2PA11098,B001269,authoritative,high
H2PA17012,G000121,authoritative,high
H2PA17079,C001090,authoritative,high
H2PA17103,D000530,authoritative,high
H2PA18143,M001151,authoritative,high
H2PA18200,L000602,authoritative,high
H2PA20065,M000212,authoritative,high
H2PR00016,R000417,authoritative,high
H2RI02184,M001223,authoritative,high
H2SC02042,C000537,authoritative,high
H2SC02059,W000795,authoritative,high
H2SC03057,B001239,authoritative,high
H2SC04022,I000023,authoritative,high
H2SC05052,S000749,authoritative,high
H2SC07066,R000597,authoritative,high
H2SC07280,F000478,authoritative,high
H2SD00092,H001037,authoritative,high
H2TN03052,W000119,authoritative,high
H2TN04027,C000754,authoritative,high
H2TN05131,C000754,authoritative,high
H2TN05446,O000175,authoritative,high
H2TN06030,B001243,authoritative,high
H2TN07038,C000503,authoritative,high
H2TN07103,K000392,authoritative,high
H2TX00015,J000126,authoritative,high
H2TX01112,M001224,authoritative,high
H2TX03118,J000174,authoritative,high
H2TX03126,S000250,authoritative,high
H2TX03290,S001224,authoritative,high
H2TX05121,H001036,authoritative,high
H2TX08182,L000603,authoritative,high
H2TX14149,W000814,authoritative,high
H2TX16185,O000170,authoritative,high
H2TX23058,B000617,authoritative,high
H2TX23082,C001063,authoritative,high
H2TX23124,G000572,authoritative,high
H2TX26093,B001248,authoritative,high
H2TX27026,O000107,authoritative,high
H2TX27190,V000132,authoritative,high
H2TX29030,G000410,authoritative,high
H2TX30178,C001130,authoritative,high
H2TX31044,C001051,authoritative,high
H2TX33040,W000816,authoritative,high
H2TX33073,V000131,authoritative,high
H2TX34113,F000473,authoritative,high
H2TX35011,C001091,authoritative,high
H2TX35144,C001131,authoritative,high
H2UT01094,B001250,authoritative,high
H2UT02324,S001192,authoritative,high
H2UT04023,L000584,authoritative,high
H2VA01017,B000229,authoritative,high
H2VA02064,K000399,authoritative,high
H2VA04011,S000453,authoritative,high
H2VA04052,F000445,authoritative,high
H2VA06115,G000289,authoritative,high
H2VA07196,M001239,authoritative,high
H2VA09010,B000657,authoritative,high
H2VI00082,P000610,authoritative,high
H2VT01076,B001318,authoritative,high
H2WA01054,C000127,authoritative,high
H2WA02045,M000669,authoritative,high
H2WA03217,G000600,authoritative,high
H2WA04041,H000329,authoritative,high
H2WA04090,I000026,authoritative,high
H2WA06129,K000381,authoritative,high
H2WA08075,D000549,authoritative,high
H2WI02124,P000607,authoritative,high
H2WI05150,B000177,authoritative,high
H2WV01029,M000844,authoritative,high
H2WV03025,W000654,authoritative,high
H2WY00166,H001096,authoritative,high
H3TX19021,C001062,authoritative_unverified,medium
H4AL01032,C000052,authoritative,high
H4AL01123,B001289,authoritative,high
H4AL02170,F000481,authoritative,high
H4AL06098,P000609,authoritative,high
H4AR02141,H001072,authoritative,high
H4AR04048,W000821,authoritative,high
H4AS00036,R000600,authoritative,high
H4AZ01038,S000018,authoritative,high
H4AZ03109,A000381,authoritative,high
H4AZ04016,S000275,authoritative,high
H4AZ04024,F000448,authoritative,high
H4AZ06045,S001183,authoritative,high
H4AZ06052,H000413,authoritative,high
H4AZ07043,G000574,authoritative,high
H4AZ08108,H001098,authoritative,high
H4CA11081,M001166,authoritative,high
H4CA12055,K000389,authoritative,high
H4CA12154,S001231,authoritative,high
H4CA16049,L000397,authoritative,high
H4CA16197,L000607,authoritative,high
H4CA17021,F000030,authoritative,high
H4CA20082,C001059,authoritative,high
H4CA20181,F000480,authoritative,high
H4CA23011,W000187,authoritative,high
H4CA25123,K000387,authoritative,high
H4CA27111,W000830,authoritative,high
H4CA29141,R000620,authoritative,high
H4CA30149,F000483,authoritative,high
H4CA31170,C001123,authoritative,high
H4CA33119,L000582,authoritative,high
H4CA35031,T000474,authoritative,high
H4CA45097,W000820,authoritative,high
H4CA45170,T000491,authoritative,high
H4CA47085,M001241,authoritative,high
H4CA49032,B000461,authoritative,high
H4CO03167,S001158,authoritative,high
H4CO03357,H001100,authoritative,high
H4CO04090,B001297,authoritative,high
H4CO04348,L000604,authoritative,high
H4CO08034,E000300,authoritative,high
H4CT05053,M000090,authoritative,high
H4DE00045,M001238,authoritative,high
H4FL01056,S000106,authoritative,high
H4FL02062,G000575,authoritative,high
H4FL08168,H001099,authoritative,high
H4FL13101,J000296,authoritative,high
H4FL14059,M001155,authoritative,high
H4FL15114,W000267,authoritative,high
H4FL16021,F000238,authoritative,high
H4FL19074,C001102,authoritative,high
H4FL20023,W000797,authoritative,high
H4FL26038,C001107,authoritative,high
H4GA01039,C001103,authoritative,high
H4GA03126,J000311,authoritative,high
H4GA06087,P000591,authoritative,high
H4GA08067,W000796,authoritative,high
H4GA10022,N000159,authoritative,high
H4GA10071,C001129,authoritative,high
H4GA11053,B000169,authoritative,high
H4GA11061,L000583,authoritative,high
H4GA12010,B001252,authoritative,high
H4HI01134,T000473,authoritative,high
H4IA03115,Y000066,authoritative,high
H4IA04048,G000041,authoritative,high
