election_cycle,transaction_year,transaction_month,cand_id,bioguide_id,total_raised,transaction_count
1980,1979,,H6MI02091,,2200,9
1980,1979,,H6MI03073,,200,1
1980,1979,,H6MI04048,,200,1
1980,1979,,H6MI05102,,4200,17
1980,1979,,H6MI06035,,400,2
1980,1979,,H6MI07074,,800,2
1980,1979,,H6MI07108,K000172,725,2
1980,1979,,H6MI08064,,1450,5
1980,1979,,H6MI09047,,1950,7
1980,1979,,H6MI12017,B000619,450,2
1980,1979,,H6MI16034,D000355,1150,4
1980,1979,,H6MI18022,,750,3
1980,1979,,H6MI19020,,3650,9
1980,1979,,H6MN02024,,11350,45
1980,1979,,H6MN03022,,650,3
1980,1979,,H6MN04103,V000087,3600,16
1980,1979,,H6MN04152,,4445,5
1980,1979,,H6MN06058,N000127,2500,4
1980,1979,,H6MN07148,,450,2
1980,1979,,H6MN08047,O000006,200,1
1980,1979,,H6MO01022,C001049,200,1
1980,1979,,H6MO01022,C000488,200,1
1980,1979,,H6MO02111,,200,1
1980,1979,,H6MO03119,G000132,6400,13
1980,1979,,H6MO04125,,100,1
1980,1979,,H6MO04141,S000465,4800,16
1980,1979,,H6MO05023,,11150,34
1980,1979,,H6MO06013,,5926,23
1980,1979,,H6MO06062,,10360,1
1980,1979,,H6MO07045,,8600,24
1980,1979,,H6MO09066,,2650,9
1980,1979,,H6MS01024,,500,1
1980,1979,,H6MS02022,,1000,2
1980,1979,,H6MS05041,L000447,1210,7
1980,1979,,H6MT02028,,7200,17
1980,1979,,H6NC04011,,2408,7
1980,1979,,H6NC05018,,1500,3
1980,1979,,H6NC06024,,500,2
1980,1979,,H6NC08020,,450,2
1980,1979,,H6NC09051,,4200,14
1980,1979,,H6NC10018,,5750,23
1980,1979,,H6NC11040,,1200,2
1980,1979,,H6NC11123,,201,1
1980,1979,,H6ND00017,,5050,13
1980,1979,,H6NE01010,,250,1
1980,1979,,H6NH01032,,4500,7
1980,1979,,H6NJ03028,,200,1
1980,1979,,H6NJ07029,,21100,43
1980,1979,,H6NJ09082,,5702,20
1980,1979,,H6NJ10049,,250,1
1980,1979,,H6NJ11021,,950,2
1980,1979,,H6NJ12029,,24750,53
1980,1979,,H6NJ15022,,800,4
1980,1979,,H6NM01020,,8250,42
1980,1979,,H6NM02028,,23500,116
1980,1979,,H6NV00044,,2400,8
1980,1979,,H6NY02025,,1100,6
1980,1979,,H6NY03023,,700,2
1980,1979,,H6NY04039,,5100,10
1980,1979,,H6NY05036,,13720,79
1980,1979,,H6NY06026,,5545,21
1980,1979,,H6NY07024,,2050,7
1980,1979,,H6NY11059,,4650,23
1980,1979,,H6NY13030,,3200,5
1980,1979,,H6NY14087,,71850,161
1980,1979,,H6NY15050,,2285,6
1980,1979,,H6NY17049,,24550,84
1980,1979,,H6NY17072,,1700,2
1980,1979,,H6NY20050,,3600,16
1980,1979,,H6NY21025,,3600,11
1980,1979,,H6NY24060,,1600,7
1980,1979,,H6NY25042,,3100,6
1980,1979,,H6NY26016,G000212,6770,19
1980,1979,,H6NY27063,,2950,9
1980,1979,,H6NY28012,,75,2
1980,1979,,H6NY32451,,700,3
1980,1979,,H6NY36015,L000556,1500,3
1980,1979,,H6NY38029,,4000,8
1980,1979,,H6NY39035,,2150,5
1980,1979,,H6OH02052,,28400,86
1980,1979,,H6OH08059,,200,1
1980,1979,,H6OH12028,,200,1
1980,1979,,H6OH12036,,67,1
1980,1979,,H6OH13042,,1050,5
1980,1979,,H6OH14016,,700,2
1980,1979,,H6OH17027,,5900,11
1980,1979,,H6OH18066,,1600,7
1980,1979,,H6OH19114,,300,1
1980,1979,,H6OH20138,,1200,4
1980,1979,,H6OH21052,,2125,6
1980,1979,,H6OK01011,,1000,2
1980,1979,,H6OK02100,,15170,10
1980,1979,,H6OK06036,,8600,31
1980,1979,,H6OR01027,,1400,4
1980,1979,,H6OR03015,,1250,2
1980,1979,,H6OR04120,,17670,5
1980,1979,,H6PA02023,,1640,5
1980,1979,,H6PA03047,,2825,11
1980,1979,,H6PA05042,,16900,41
1980,1979,,H6PA07022,,2150,6
1980,1979,,H6PA08095,,1700,5
1980,1979,,H6PA09051,S000394,1300,5
1980,1979,,H6PA13020,,1100,3
1980,1979,,H6PA16098,,10,1
1980,1979,,H6PA17039,,3100,14
1980,1979,,H6PA18151,,1250,5
1980,1979,,H6PA19043,G000291,1000,2
1980,1979,,H6PA20017,,1950,5
1980,1979,,H6PA22062,,1000,2
1980,1979,,H6PA23078,,3097,3
1980,1979,,H6PA24043,,13750,19
1980,1979,,H6PA25040,,2040,8
1980,1979,,H6PR00041,,250,1
1980,1979,,H6RI01054,,25,1
1980,1979,,H6RI02029,,2750,11
1980,1979,,H6SC01037,,1200,2
1980,1979,,H6SC02043,S000718,1150,4
1980,1979,,H6SC03025,,2700,11
1980,1979,,H6SC04031,,5143,1
1980,1979,,H6SC05020,,10550,50
1980,1979,,H6SC06028,,500,1
1980,1979,,H6TN01040,,1000,2
1980,1979,,H6TN02030,D000533,300,1
1980,1979,,H6TN06023,,900,3
1980,1979,,H6TN07039,,3700,10
1980,1979,,H6TN08037,F000262,700,2
1980,1979,,H6TX01022,,250,1
1980,1979,,H6TX02020,W000801,1000,1
1980,1979,,H6TX03010,,170615,410
1980,1979,,H6TX04026,,900,5
1980,1979,,H6TX05031,,173143,342
1980,1979,,H6TX06039,,410,2
1980,1979,,H6TX07029,A000215,2275,7
1980,1979,,H6TX08019,,2931,3
1980,1979,,H6TX08027,,8450,24
1980,1979,,H6TX09025,,27250,90
1980,1979,,H6TX10049,,7650,21
1980,1979,,H6TX12029,,37950,53
1980,1979,,H6TX13027,,1250,2
1980,1979,,H6TX15014,,500,1
1980,1979,,H6TX20022,,500,1
1980,1979,,H6TX22069,,4875,6
1980,1979,,H6TX22101,P000583,2000,2
1980,1979,,H6TX23034,,12000,14
1980,1979,,H6TX24057,F000392,86325,172
1980,1979,,H6UT01038,,8024,19
1980,1979,,H6UT02077,,6150,14
1980,1979,,H6VA01059,,946,4
1980,1979,,H6VA08021,,400,2
1980,1979,,H6VA09029,,700,3
1980,1979,,H6WA02053,,1868,5
1980,1979,,H6WA04034,,5250,21
1980,1979,,H6WA05056,,250,1
1980,1979,,H6WA06021,D000327,6350,14
1980,1979,,H6WI01051,,400,1
1980,1979,,H6WI03016,,500,2
1980,1979,,H6WI05011,,2000,5
1980,1979,,H6WI07033,O000007,6935,22
1980,1979,,H6WV01046,,2850,8
1980,1979,,H6WV02036,,13900,45
1980,1979,,H6WV04024,,52872,1
1980,1979,,H6WV04057,R000011,17775,74
1980,1979,,H8AK00025,,250,1
1980,1979,,H8AL02023,,12174,4
1980,1979,,H8AL06016,,1000,3
1980,1979,,H8AL07014,S000320,2400,6
1980,1979,,H8AR02068,,35886,115
1980,1979,,H8AR04023,,6900,9
1980,1979,,H8AR04056,,1169,3
1980,1979,,H8AZ02029,,500,1
1980,1979,,H8AZ04017,,250,1
1980,1979,,H8AZ04041,,331,1
1980,1979,,H8CA02016,,3500,3
1980,1979,,H8CA02032,,1733,1
1980,1979,,H8CA03014,M000249,1500,5
1980,1979,,H8CA03022,,13200,14
1980,1979,,H8CA03030,,400,2
1980,1979,,H8CA03048,,11126,16
1980,1979,,H8CA04012,,1200,3
1980,1979,,H8CA04053,,8275,15
1980,1979,,H8CA08013,,200,1
1980,1979,,H8CA11017,,12580,25
1980,1979,,H8CA14037,,1057,1
1980,1979,,H8CA15018,,250,1
1980,1979,,H8CA16016,,500,1
1980,1979,,H8CA17014,,14013,43
1980,1979,,H8CA18012,,1294,2
1980,1979,,H8CA18020,T000188,9400,31
1980,1979,,H8CA19010,,1942,1
1980,1979,,H8CA27021,,20700,23
1980,1979,,H8CA28029,D000373,7750,21
1980,1979,,H8CA30017,,36,2
1980,1979,,H8CA33029,,2800,10
1980,1979,,H8CA33177,,2500,9
1980,1979,,H8CA35016,,1000,2
1980,1979,,H8CA35032,D000492,19027,32
1980,1979,,H8CA37079,L000274,500,1
1980,1979,,H8CA39026,,7271,20
1980,1979,,H8CO01014,,1000,1
1980,1979,,H8CO03036,,4050,6
1980,1979,,H8CO03044,,500,1
1980,1979,,H8CO05031,,24580,83
1980,1979,,H8CT04016,,300,1
1980,1979,,H8CT05013,,2650,7
1980,1979,,H8CT05039,,3850,10
1980,1979,,H8FL01024,,400,1
1980,1979,,H8FL05033,,2825,8
1980,1979,,H8FL09019,N000032,11032,14
1980,1979,,H8FL12047,,12850,34
1980,1979,,H8FL14027,,4240,7
1980,1979,,H8FL14035,,240,10
1980,1979,,H8FL14068,,200,1
1980,1979,,H8GA06013,,6015,4
1980,1979,,H8GA06021,,1700,3
1980,1979,,H8IA01011,,895,3
1980,1979,,H8IA02019,,1200,5
1980,1979,,H8IA05020,,400,1
1980,1979,,H8ID02023,,4733,9
1980,1979,,H8IL01031,,950,3
1980,1979,,H8IL03029,,1700,6
1980,1979,,H8IL10016,P000444,39200,98
1980,1979,,H8IL16013,,6716,14
1980,1979,,H8IL22052,,3050,15
1980,1979,,H8IN04017,,7600,7
1980,1979,,H8IN08026,,6300,15
1980,1979,,H8KS02017,,1400,6
1980,1979,,H8KS02025,,7480,13
1980,1979,,H8KS04013,,250,1
1980,1979,,H8KS05036,,9850,23
1980,1979,,H8KS05044,,2500,4
1980,1979,,H8KS05069,,300,1
1980,1979,,H8KY06016,,1404,2
1980,1979,,H8KY06040,,49100,101
1980,1979,,H8LA04019,,43200,8
1980,1979,,H8LA04035,,20349,28
1980,1979,,H8LA04076,,16561,14
1980,1979,,H8LA05016,,200,1
1980,1979,,H8LA08010,,451,4
1980,1979,,H8MA05036,,250,1
1980,1979,,H8MA05069,,2400,6
1980,1979,,H8MA06034,,1500,2
1980,1979,,H8MA11067,,7050,19
1980,1979,,H8MD01011,,220,1
1980,1979,,H8MD04015,,1414,3
1980,1979,,H8MD06028,,7700,14
1980,1979,,H8MD08016,,3074,12
1980,1979,,H8ME01013,,5086,2
1980,1979,,H8ME02029,S000663,3373,7
1980,1979,,H8MI05017,,1531,5
1980,1979,,H8MI10017,,8838,8
1980,1979,,H8MN01022,,7250,20
1980,1979,,H8MN01055,,200,1
1980,1979,,H8MN03010,,500,1
1980,1979,,H8MN03028,,650,3
1980,1979,,H8MN04018,,15940,33
1980,1979,,H8MN05023,S000005,900,3
1980,1979,,H8MO01036,,300,1
1980,1979,,H8MO02018,,1500,2
1980,1979,,H8MO06019,,4675,24
1980,1979,,H8MO06035,,400,2
1980,1979,,H8MS01012,,3300,5
1980,1979,,H8MS04040,,10650,31
1980,1979,,H8MS04081,,2040,1
